model,set,pair,wording,a,b,source,n_readings_per_order,p_a_forward_readings,p_a_reverse_readings,p_a_forward_median,p_a_reverse_median,choice_probability_a,measurable,selected,captured_mass
Llama-3.1-405B,constructed,d1_F-A-D_a|d1_F-A-P_a,a,d1_F-A-D_a,d1_F-A-P_a,NDIF,1,0.9999,0.9820,0.9999,0.9820,0.9910,1,d1_F-A-D_a,1.0000
Llama-3.1-405B,constructed,d1_F-L-D_b|d1_F-L-P_b,b,d1_F-L-D_b,d1_F-L-P_b,NDIF,1,0.9998,0.9999,0.9998,0.9999,0.9999,1,d1_F-L-D_b,1.0000
Llama-3.1-405B,constructed,d1_F-L-D_c|d1_F-A-D_c,c,d1_F-L-D_c,d1_F-A-D_c,NDIF,1,0.0001,0.1192,0.0001,0.1192,0.0596,1,d1_F-A-D_c,0.9999
Llama-3.1-405B,constructed,d1_F-L-D_c|d1_F-A-N_c,c,d1_F-L-D_c,d1_F-A-N_c,NDIF,1,0.0675,0.9399,0.0675,0.9399,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-L-D_c|d1_F-A-P_c,c,d1_F-L-D_c,d1_F-A-P_c,NDIF,1,0.0002,0.9876,0.0002,0.9876,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-L-D_c|d1_F-L-P_c,c,d1_F-L-D_c,d1_F-L-P_c,NDIF,1,0.5000,0.9994,0.5000,0.9994,,0,,0.9975
Llama-3.1-405B,constructed,d1_F-L-N_a|d1_F-A-D_a,a,d1_F-L-N_a,d1_F-A-D_a,NDIF,1,0.0000,0.0001,0.0000,0.0001,0.0001,1,d1_F-A-D_a,1.0000
Llama-3.1-405B,constructed,d1_F-L-N_a|d1_F-A-N_a,a,d1_F-L-N_a,d1_F-A-N_a,NDIF,1,0.0001,0.0159,0.0001,0.0159,0.0080,1,d1_F-A-N_a,1.0000
Llama-3.1-405B,constructed,d1_F-L-N_a|d1_F-A-P_a,a,d1_F-L-N_a,d1_F-A-P_a,NDIF,1,0.0000,0.0022,0.0000,0.0022,0.0011,1,d1_F-A-P_a,1.0000
Llama-3.1-405B,constructed,d1_F-L-N_a|d1_F-L-D_a,a,d1_F-L-N_a,d1_F-L-D_a,NDIF,1,0.0001,0.0001,0.0001,0.0001,0.0001,1,d1_F-L-D_a,1.0000
Llama-3.1-405B,constructed,d1_F-L-N_a|d1_F-L-P_a,a,d1_F-L-N_a,d1_F-L-P_a,NDIF,1,0.0851,0.0851,0.0851,0.0851,0.0851,1,d1_F-L-P_a,0.9999
Llama-3.1-405B,constructed,d1_F-L-N_b|d1_F-A-D_b,b,d1_F-L-N_b,d1_F-A-D_b,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_F-A-D_b,1.0000
Llama-3.1-405B,constructed,d1_F-L-N_b|d1_F-A-N_b,b,d1_F-L-N_b,d1_F-A-N_b,NDIF,1,0.0000,0.0017,0.0000,0.0017,0.0009,1,d1_F-A-N_b,1.0000
Llama-3.1-405B,constructed,d1_F-L-N_b|d1_F-A-P_b,b,d1_F-L-N_b,d1_F-A-P_b,NDIF,1,0.0000,0.0001,0.0000,0.0001,0.0000,1,d1_F-A-P_b,1.0000
Llama-3.1-405B,constructed,d1_F-L-N_b|d1_F-L-D_b,b,d1_F-L-N_b,d1_F-L-D_b,NDIF,1,0.0000,0.0002,0.0000,0.0002,0.0001,1,d1_F-L-D_b,1.0000
Llama-3.1-405B,constructed,d1_F-L-N_b|d1_F-L-P_b,b,d1_F-L-N_b,d1_F-L-P_b,NDIF,1,0.8355,0.9627,0.8355,0.9627,0.8991,1,d1_F-L-N_b,1.0000
Llama-3.1-405B,constructed,d1_F-L-N_c|d1_F-A-D_c,c,d1_F-L-N_c,d1_F-A-D_c,NDIF,1,0.0000,0.0001,0.0000,0.0001,0.0001,1,d1_F-A-D_c,1.0000
Llama-3.1-405B,constructed,d1_F-L-N_c|d1_F-A-N_c,c,d1_F-L-N_c,d1_F-A-N_c,NDIF,1,0.0006,0.0293,0.0006,0.0293,0.0149,1,d1_F-A-N_c,1.0000
Llama-3.1-405B,constructed,d1_F-L-N_c|d1_F-A-P_c,c,d1_F-L-N_c,d1_F-A-P_c,NDIF,1,0.0000,0.0017,0.0000,0.0017,0.0009,1,d1_F-A-P_c,1.0000
Llama-3.1-405B,constructed,d1_F-L-N_c|d1_F-L-D_c,c,d1_F-L-N_c,d1_F-L-D_c,NDIF,1,0.0003,0.0006,0.0003,0.0006,0.0004,1,d1_F-L-D_c,1.0000
Llama-3.1-405B,constructed,d1_F-L-N_c|d1_F-L-P_c,c,d1_F-L-N_c,d1_F-L-P_c,NDIF,1,0.0141,0.0474,0.0141,0.0474,0.0307,1,d1_F-L-P_c,1.0000
Llama-3.1-405B,constructed,d1_F-L-P_a|d1_F-A-D_a,a,d1_F-L-P_a,d1_F-A-D_a,NDIF,1,0.0000,0.0003,0.0000,0.0003,0.0001,1,d1_F-A-D_a,1.0000
Llama-3.1-405B,constructed,d1_F-L-P_a|d1_F-A-N_a,a,d1_F-L-P_a,d1_F-A-N_a,NDIF,1,0.0076,0.0953,0.0076,0.0953,0.0515,1,d1_F-A-N_a,1.0000
Llama-3.1-405B,constructed,d1_F-L-P_a|d1_F-A-P_a,a,d1_F-L-P_a,d1_F-A-P_a,NDIF,1,0.0000,0.1067,0.0000,0.1067,0.0534,1,d1_F-A-P_a,0.9988
Llama-3.1-405B,constructed,d1_F-L-P_b|d1_F-A-D_b,b,d1_F-L-P_b,d1_F-A-D_b,NDIF,1,0.0000,0.0001,0.0000,0.0001,0.0000,1,d1_F-A-D_b,1.0000
Llama-3.1-405B,constructed,d1_F-L-P_b|d1_F-A-N_b,b,d1_F-L-P_b,d1_F-A-N_b,NDIF,1,0.0001,0.0180,0.0001,0.0180,0.0090,1,d1_F-A-N_b,1.0000
Llama-3.1-405B,constructed,d1_F-L-P_b|d1_F-A-P_b,b,d1_F-L-P_b,d1_F-A-P_b,NDIF,1,0.0000,0.0015,0.0000,0.0015,0.0008,1,d1_F-A-P_b,1.0000
Llama-3.1-405B,constructed,d1_F-L-P_c|d1_F-A-D_c,c,d1_F-L-P_c,d1_F-A-D_c,NDIF,1,0.0000,0.0009,0.0000,0.0009,0.0005,1,d1_F-A-D_c,1.0000
Llama-3.1-405B,constructed,d1_F-L-P_c|d1_F-A-N_c,c,d1_F-L-P_c,d1_F-A-N_c,NDIF,1,0.0293,0.8670,0.0293,0.8670,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-L-P_c|d1_F-A-P_c,c,d1_F-L-P_c,d1_F-A-P_c,NDIF,1,0.0000,0.5312,0.0000,0.5312,,0,,0.9949
Llama-3.1-405B,constructed,d1_F-SS-D_a|d1_F-A-D_a,a,d1_F-SS-D_a,d1_F-A-D_a,NDIF,1,0.0000,0.0001,0.0000,0.0001,0.0000,1,d1_F-A-D_a,1.0000
Llama-3.1-405B,constructed,d1_F-SS-D_a|d1_F-A-N_a,a,d1_F-SS-D_a,d1_F-A-N_a,NDIF,1,0.0004,0.0006,0.0004,0.0006,0.0005,1,d1_F-A-N_a,1.0000
Llama-3.1-405B,constructed,d1_F-SS-D_a|d1_F-A-P_a,a,d1_F-SS-D_a,d1_F-A-P_a,NDIF,1,0.0000,0.0004,0.0000,0.0004,0.0002,1,d1_F-A-P_a,1.0000
Llama-3.1-405B,constructed,d1_F-SS-D_a|d1_F-L-D_a,a,d1_F-SS-D_a,d1_F-L-D_a,NDIF,1,0.0086,0.0601,0.0086,0.0601,0.0343,1,d1_F-L-D_a,0.9987
Llama-3.1-405B,constructed,d1_F-SS-D_a|d1_F-L-N_a,a,d1_F-SS-D_a,d1_F-L-N_a,NDIF,1,0.0953,0.9981,0.0953,0.9981,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-SS-D_a|d1_F-L-P_a,a,d1_F-SS-D_a,d1_F-L-P_a,NDIF,1,0.0036,0.9876,0.0036,0.9876,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-SS-D_a|d1_F-SS-P_a,a,d1_F-SS-D_a,d1_F-SS-P_a,NDIF,1,0.0012,0.9987,0.0012,0.9987,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-SS-D_b|d1_F-A-D_b,b,d1_F-SS-D_b,d1_F-A-D_b,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_F-A-D_b,1.0000
Llama-3.1-405B,constructed,d1_F-SS-D_b|d1_F-A-N_b,b,d1_F-SS-D_b,d1_F-A-N_b,NDIF,1,0.0000,0.0001,0.0000,0.0001,0.0001,1,d1_F-A-N_b,1.0000
Llama-3.1-405B,constructed,d1_F-SS-D_b|d1_F-A-P_b,b,d1_F-SS-D_b,d1_F-A-P_b,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_F-A-P_b,1.0000
Llama-3.1-405B,constructed,d1_F-SS-D_b|d1_F-L-D_b,b,d1_F-SS-D_b,d1_F-L-D_b,NDIF,1,0.0000,0.0601,0.0000,0.0601,0.0300,1,d1_F-L-D_b,0.9937
Llama-3.1-405B,constructed,d1_F-SS-D_b|d1_F-L-N_b,b,d1_F-SS-D_b,d1_F-L-N_b,NDIF,1,0.0059,0.9998,0.0059,0.9998,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-SS-D_b|d1_F-L-P_b,b,d1_F-SS-D_b,d1_F-L-P_b,NDIF,1,0.0851,0.9992,0.0851,0.9992,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-SS-D_b|d1_F-SS-P_b,b,d1_F-SS-D_b,d1_F-SS-P_b,NDIF,1,0.0041,0.9992,0.0041,0.9992,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-SS-D_c|d1_F-A-D_c,c,d1_F-SS-D_c,d1_F-A-D_c,NDIF,1,0.0000,0.0001,0.0000,0.0001,0.0001,1,d1_F-A-D_c,1.0000
Llama-3.1-405B,constructed,d1_F-SS-D_c|d1_F-A-N_c,c,d1_F-SS-D_c,d1_F-A-N_c,NDIF,1,0.0036,0.0046,0.0036,0.0046,0.0041,1,d1_F-A-N_c,1.0000
Llama-3.1-405B,constructed,d1_F-SS-D_c|d1_F-A-P_c,c,d1_F-SS-D_c,d1_F-A-P_c,NDIF,1,0.0000,0.0230,0.0000,0.0230,0.0115,1,d1_F-A-P_c,1.0000
Llama-3.1-405B,constructed,d1_F-SS-D_c|d1_F-L-D_c,c,d1_F-SS-D_c,d1_F-L-D_c,NDIF,1,0.0421,0.7773,0.0421,0.7773,,0,,0.9966
Llama-3.1-405B,constructed,d1_F-SS-D_c|d1_F-L-N_c,c,d1_F-SS-D_c,d1_F-L-N_c,NDIF,1,0.4073,0.9933,0.4073,0.9933,,0,,0.9999
Llama-3.1-405B,constructed,d1_F-SS-D_c|d1_F-L-P_c,c,d1_F-SS-D_c,d1_F-L-P_c,NDIF,1,0.0230,0.9903,0.0230,0.9903,,0,,0.9999
Llama-3.1-405B,constructed,d1_F-SS-D_c|d1_F-SS-P_c,c,d1_F-SS-D_c,d1_F-SS-P_c,NDIF,1,0.0004,0.9890,0.0004,0.9890,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_a|d1_F-A-D_a,a,d1_F-SS-N_a,d1_F-A-D_a,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_F-A-D_a,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_a|d1_F-A-N_a,a,d1_F-SS-N_a,d1_F-A-N_a,NDIF,1,0.0001,0.0000,0.0001,0.0000,0.0001,1,d1_F-A-N_a,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_a|d1_F-A-P_a,a,d1_F-SS-N_a,d1_F-A-P_a,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_F-A-P_a,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_a|d1_F-L-D_a,a,d1_F-SS-N_a,d1_F-L-D_a,NDIF,1,0.0000,0.0001,0.0000,0.0001,0.0001,1,d1_F-L-D_a,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_a|d1_F-L-N_a,a,d1_F-SS-N_a,d1_F-L-N_a,NDIF,1,0.1824,0.1645,0.1824,0.1645,0.1735,1,d1_F-L-N_a,0.9999
Llama-3.1-405B,constructed,d1_F-SS-N_a|d1_F-L-P_a,a,d1_F-SS-N_a,d1_F-L-P_a,NDIF,1,0.0001,0.3775,0.0001,0.3775,0.1888,1,d1_F-L-P_a,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_a|d1_F-SS-D_a,a,d1_F-SS-N_a,d1_F-SS-D_a,NDIF,1,0.0003,0.9959,0.0003,0.9959,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_a|d1_F-SS-P_a,a,d1_F-SS-N_a,d1_F-SS-P_a,NDIF,1,0.0001,0.9669,0.0001,0.9669,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_b|d1_F-A-D_b,b,d1_F-SS-N_b,d1_F-A-D_b,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_F-A-D_b,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_b|d1_F-A-N_b,b,d1_F-SS-N_b,d1_F-A-N_b,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_F-A-N_b,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_b|d1_F-A-P_b,b,d1_F-SS-N_b,d1_F-A-P_b,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_F-A-P_b,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_b|d1_F-L-D_b,b,d1_F-SS-N_b,d1_F-L-D_b,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_F-L-D_b,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_b|d1_F-L-N_b,b,d1_F-SS-N_b,d1_F-L-N_b,NDIF,1,0.0421,0.0675,0.0421,0.0675,0.0548,1,d1_F-L-N_b,0.9996
Llama-3.1-405B,constructed,d1_F-SS-N_b|d1_F-L-P_b,b,d1_F-SS-N_b,d1_F-L-P_b,NDIF,1,0.0006,0.2942,0.0006,0.2942,0.1474,1,d1_F-L-P_b,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_b|d1_F-SS-D_b,b,d1_F-SS-N_b,d1_F-SS-D_b,NDIF,1,0.0002,0.9997,0.0002,0.9997,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_b|d1_F-SS-P_b,b,d1_F-SS-N_b,d1_F-SS-P_b,NDIF,1,0.0003,0.9988,0.0003,0.9988,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_c|d1_F-A-D_c,c,d1_F-SS-N_c,d1_F-A-D_c,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_F-A-D_c,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_c|d1_F-A-N_c,c,d1_F-SS-N_c,d1_F-A-N_c,NDIF,1,0.0009,0.0002,0.0009,0.0002,0.0006,1,d1_F-A-N_c,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_c|d1_F-A-P_c,c,d1_F-SS-N_c,d1_F-A-P_c,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_F-A-P_c,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_c|d1_F-L-D_c,c,d1_F-SS-N_c,d1_F-L-D_c,NDIF,1,0.0001,0.0675,0.0001,0.0675,0.0338,1,d1_F-L-D_c,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_c|d1_F-L-N_c,c,d1_F-SS-N_c,d1_F-L-N_c,NDIF,1,0.2942,0.5312,0.2942,0.5312,,0,,0.9992
Llama-3.1-405B,constructed,d1_F-SS-N_c|d1_F-L-P_c,c,d1_F-SS-N_c,d1_F-L-P_c,NDIF,1,0.0001,0.7058,0.0001,0.7058,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_c|d1_F-SS-D_c,c,d1_F-SS-N_c,d1_F-SS-D_c,NDIF,1,0.0293,0.8933,0.0293,0.8933,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-SS-N_c|d1_F-SS-P_c,c,d1_F-SS-N_c,d1_F-SS-P_c,NDIF,1,0.0001,0.9047,0.0001,0.9047,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-SS-P_a|d1_F-A-D_a,a,d1_F-SS-P_a,d1_F-A-D_a,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_F-A-D_a,1.0000
Llama-3.1-405B,constructed,d1_F-SS-P_a|d1_F-A-N_a,a,d1_F-SS-P_a,d1_F-A-N_a,NDIF,1,0.0012,0.0004,0.0012,0.0004,0.0008,1,d1_F-A-N_a,1.0000
Llama-3.1-405B,constructed,d1_F-SS-P_a|d1_F-A-P_a,a,d1_F-SS-P_a,d1_F-A-P_a,NDIF,1,0.0000,0.0002,0.0000,0.0002,0.0001,1,d1_F-A-P_a,1.0000
Llama-3.1-405B,constructed,d1_F-SS-P_a|d1_F-L-D_a,a,d1_F-SS-P_a,d1_F-L-D_a,NDIF,1,0.0000,0.0601,0.0000,0.0601,0.0301,1,d1_F-L-D_a,1.0000
Llama-3.1-405B,constructed,d1_F-SS-P_a|d1_F-L-N_a,a,d1_F-SS-P_a,d1_F-L-N_a,NDIF,1,0.1480,0.9841,0.1480,0.9841,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-SS-P_a|d1_F-L-P_a,a,d1_F-SS-P_a,d1_F-L-P_a,NDIF,1,0.0421,0.5622,0.0421,0.5622,,0,,0.9362
Llama-3.1-405B,constructed,d1_F-SS-P_b|d1_F-A-D_b,b,d1_F-SS-P_b,d1_F-A-D_b,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_F-A-D_b,1.0000
Llama-3.1-405B,constructed,d1_F-SS-P_b|d1_F-A-N_b,b,d1_F-SS-P_b,d1_F-A-N_b,NDIF,1,0.0000,0.0010,0.0000,0.0010,0.0005,1,d1_F-A-N_b,1.0000
Llama-3.1-405B,constructed,d1_F-SS-P_b|d1_F-A-P_b,b,d1_F-SS-P_b,d1_F-A-P_b,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_F-A-P_b,1.0000
Llama-3.1-405B,constructed,d1_F-SS-P_b|d1_F-L-D_b,b,d1_F-SS-P_b,d1_F-L-D_b,NDIF,1,0.0000,0.0022,0.0000,0.0022,0.0011,1,d1_F-L-D_b,1.0000
Llama-3.1-405B,constructed,d1_F-SS-P_b|d1_F-L-N_b,b,d1_F-SS-P_b,d1_F-L-N_b,NDIF,1,0.0203,0.3486,0.0203,0.3486,0.1845,1,d1_F-L-N_b,1.0000
Llama-3.1-405B,constructed,d1_F-SS-P_b|d1_F-L-P_b,b,d1_F-SS-P_b,d1_F-L-P_b,NDIF,1,0.0006,0.4378,0.0006,0.4378,0.2192,1,d1_F-L-P_b,0.9807
Llama-3.1-405B,constructed,d1_F-SS-P_c|d1_F-A-D_c,c,d1_F-SS-P_c,d1_F-A-D_c,NDIF,1,0.0000,0.0002,0.0000,0.0002,0.0001,1,d1_F-A-D_c,1.0000
Llama-3.1-405B,constructed,d1_F-SS-P_c|d1_F-A-N_c,c,d1_F-SS-P_c,d1_F-A-N_c,NDIF,1,0.0293,0.0086,0.0293,0.0086,0.0189,1,d1_F-A-N_c,1.0000
Llama-3.1-405B,constructed,d1_F-SS-P_c|d1_F-A-P_c,c,d1_F-SS-P_c,d1_F-A-P_c,NDIF,1,0.0000,0.0046,0.0000,0.0046,0.0023,1,d1_F-A-P_c,0.9993
Llama-3.1-405B,constructed,d1_F-SS-P_c|d1_F-L-D_c,c,d1_F-SS-P_c,d1_F-L-D_c,NDIF,1,0.0004,0.9047,0.0004,0.9047,,0,,0.9997
Llama-3.1-405B,constructed,d1_F-SS-P_c|d1_F-L-N_c,c,d1_F-SS-P_c,d1_F-L-N_c,NDIF,1,0.4073,0.9959,0.4073,0.9959,,0,,0.9999
Llama-3.1-405B,constructed,d1_F-SS-P_c|d1_F-L-P_c,c,d1_F-SS-P_c,d1_F-L-P_c,NDIF,1,0.0759,0.7058,0.0759,0.7058,,0,,0.9404
Llama-3.1-405B,main,d1_A_a|d1_D12_a,a,d1_A_a,d1_D12_a,NDIF,1,0.9996,1.0000,0.9996,1.0000,0.9998,1,d1_A_a,1.0000
Llama-3.1-405B,main,d1_A_a|d1_D4_a,a,d1_A_a,d1_D4_a,NDIF,1,0.4073,1.0000,0.4073,1.0000,,0,,1.0000
Llama-3.1-405B,main,d1_A_a|d1_L_a,a,d1_A_a,d1_L_a,NDIF,1,0.6225,1.0000,0.6225,1.0000,0.8112,1,d1_A_a,1.0000
Llama-3.1-405B,main,d1_A_a|d1_Lp_a,a,d1_A_a,d1_Lp_a,NDIF,1,0.9999,1.0000,0.9999,1.0000,0.9999,1,d1_A_a,1.0000
Llama-3.1-405B,main,d1_A_a|d1_M_a,a,d1_A_a,d1_M_a,NDIF,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,d1_A_a,1.0000
Llama-3.1-405B,main,d1_A_a|d1_SN_a,a,d1_A_a,d1_SN_a,NDIF,1,0.9841,1.0000,0.9841,1.0000,0.9920,1,d1_A_a,1.0000
Llama-3.1-405B,main,d1_A_a|d1_SS_a,a,d1_A_a,d1_SS_a,NDIF,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,d1_A_a,1.0000
Llama-3.1-405B,main,d1_A_a|d1_S_a,a,d1_A_a,d1_S_a,NDIF,1,0.9999,1.0000,0.9999,1.0000,1.0000,1,d1_A_a,1.0000
Llama-3.1-405B,main,d1_A_a|d1_W_a,a,d1_A_a,d1_W_a,NDIF,1,0.9997,1.0000,0.9997,1.0000,0.9998,1,d1_A_a,1.0000
Llama-3.1-405B,main,d1_A_b|d1_D12_b,b,d1_A_b,d1_D12_b,NDIF,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,d1_A_b,1.0000
Llama-3.1-405B,main,d1_A_b|d1_D4_b,b,d1_A_b,d1_D4_b,NDIF,1,0.0331,1.0000,0.0331,1.0000,,0,,1.0000
Llama-3.1-405B,main,d1_A_b|d1_L_b,b,d1_A_b,d1_L_b,NDIF,1,0.5927,1.0000,0.5927,1.0000,0.7963,1,d1_A_b,1.0000
Llama-3.1-405B,main,d1_A_b|d1_Lp_b,b,d1_A_b,d1_Lp_b,NDIF,1,0.9999,1.0000,0.9999,1.0000,1.0000,1,d1_A_b,1.0000
Llama-3.1-405B,main,d1_A_b|d1_M_b,b,d1_A_b,d1_M_b,NDIF,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,d1_A_b,1.0000
Llama-3.1-405B,main,d1_A_b|d1_SN_b,b,d1_A_b,d1_SN_b,NDIF,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,d1_A_b,1.0000
Llama-3.1-405B,main,d1_A_b|d1_SS_b,b,d1_A_b,d1_SS_b,NDIF,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,d1_A_b,1.0000
Llama-3.1-405B,main,d1_A_b|d1_S_b,b,d1_A_b,d1_S_b,NDIF,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,d1_A_b,1.0000
Llama-3.1-405B,main,d1_A_b|d1_W_b,b,d1_A_b,d1_W_b,NDIF,1,0.9999,1.0000,0.9999,1.0000,1.0000,1,d1_A_b,1.0000
Llama-3.1-405B,main,d1_A_c|d1_D12_c,c,d1_A_c,d1_D12_c,NDIF,1,0.9993,1.0000,0.9993,1.0000,0.9996,1,d1_A_c,1.0000
Llama-3.1-405B,main,d1_A_c|d1_D4_c,c,d1_A_c,d1_D4_c,NDIF,1,0.0474,0.9999,0.0474,0.9999,,0,,1.0000
Llama-3.1-405B,main,d1_A_c|d1_L_c,c,d1_A_c,d1_L_c,NDIF,1,0.0293,1.0000,0.0293,1.0000,,0,,1.0000
Llama-3.1-405B,main,d1_A_c|d1_Lp_c,c,d1_A_c,d1_Lp_c,NDIF,1,0.9399,1.0000,0.9399,1.0000,0.9700,1,d1_A_c,0.9999
Llama-3.1-405B,main,d1_A_c|d1_M_c,c,d1_A_c,d1_M_c,NDIF,1,0.9999,1.0000,0.9999,1.0000,1.0000,1,d1_A_c,1.0000
